                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1367,                 4.2167,                 1.1485,                0.53796,                0.47638,                0.44839,                0.34004,                0.96629,                  2.462,                 1.0601,             0.00021435,             0.00021435,             0.00021435
                      2,                 1.0815,                 2.1269,                 1.0543,                0.79233,                 0.6562,                0.73914,                0.51528,                 1.0602,                 1.5284,                 1.1143,             0.00042545,             0.00042545,             0.00042545
                      3,                 1.0955,                 1.4785,                 1.0705,                0.75411,                0.54213,                0.66928,                0.44626,                 1.2234,                 1.4721,                 1.2163,             0.00061844,             0.00061844,             0.00061844
                      4,                 1.0911,                 1.2465,                  1.061,                0.87314,                0.43976,                0.59316,                0.37608,                 1.3288,                 1.8958,                 1.2834,             0.00079332,             0.00079332,             0.00079332
                      5,                 1.1061,                 1.2605,                 1.0676,                 0.8054,                0.63634,                0.73951,                0.50209,                 1.2519,                 1.5127,                 1.2721,             0.00095009,             0.00095009,             0.00095009
                      6,                  1.132,                 1.2244,                 1.1189,                0.75492,                0.55408,                0.62156,                0.36185,                 1.4098,                 1.6835,                  1.372,              0.0010888,              0.0010888,              0.0010888
                      7,                 1.1458,                 1.1035,                 1.1426,                0.21505,                0.75639,                0.20424,                0.12485,                 1.2578,                 24.651,                 1.2704,              0.0010895,              0.0010895,              0.0010895
                      8,                 1.0584,                0.99873,                 1.0803,                0.53614,                0.59102,                0.45521,                 0.2907,                 1.3121,                 8.2843,                 1.3601,              0.0010329,              0.0010329,              0.0010329
                      9,                 1.0162,                0.95864,                 1.0864,                0.65006,                0.70143,                0.73553,                0.46322,                 1.2154,                 1.9557,                 1.2897,             0.00097629,             0.00097629,             0.00097629
                     10,                0.99067,                0.89658,                 1.0689,                 0.7447,                0.56197,                0.75261,                0.51981,                   1.16,                 1.8517,                 1.2146,              0.0009197,              0.0009197,              0.0009197
                     11,                0.96886,                0.78565,                 1.0267,                0.78877,                0.73893,                0.81733,                0.54169,                 1.1764,                 1.3321,                 1.2108,             0.00086312,             0.00086312,             0.00086312
                     12,                0.99471,                0.83708,                 1.0191,                0.85995,                0.73635,                0.81809,                0.56544,                 1.1036,                 1.2031,                 1.1594,             0.00080653,             0.00080653,             0.00080653
                     13,                 1.0318,                0.84528,                  1.065,                0.86468,                0.74371,                0.83943,                0.60505,                 1.0578,                0.94786,                 1.1475,             0.00074994,             0.00074994,             0.00074994
                     14,                0.96464,                0.76409,                 1.0401,                0.84977,                 0.7342,                0.82921,                0.58973,                 1.0588,                 1.0581,                  1.117,             0.00069335,             0.00069335,             0.00069335
                     15,                0.89446,                0.75152,                 1.0175,                0.88982,                0.76894,                0.84448,                0.61969,                 1.0124,                0.92539,                 1.0752,             0.00063676,             0.00063676,             0.00063676
                     16,                0.89515,                0.78198,                  1.009,                0.87726,                0.80506,                0.86557,                 0.6267,                 1.0399,                 0.8516,                 1.1158,             0.00058017,             0.00058017,             0.00058017
                     17,                0.84468,                0.68427,                0.96001,                0.85711,                0.82141,                0.87939,                 0.6415,                  1.002,                0.84495,                 1.0846,             0.00052359,             0.00052359,             0.00052359
                     18,                 0.7906,                0.62704,                0.94552,                0.92577,                 0.8744,                0.89755,                0.66886,                0.97824,                0.70578,                 1.0674,               0.000467,               0.000467,               0.000467
                     19,                0.75492,                0.60027,                 0.9592,                0.92752,                0.83654,                0.89558,                0.65915,                0.98263,                0.71722,                 1.0705,             0.00041041,             0.00041041,             0.00041041
                     20,                0.75756,                 0.5407,                0.93237,                0.90338,                0.87025,                0.90511,                0.67005,                0.96128,                 0.6771,                 1.0574,             0.00035382,             0.00035382,             0.00035382
                     21,                0.76903,                 0.5292,                0.92649,                0.90404,                0.83496,                0.89581,                0.66562,                0.95795,                0.65749,                 1.0534,             0.00029723,             0.00029723,             0.00029723
                     22,                0.71833,                 0.5199,                0.94161,                0.89871,                0.83285,                 0.9008,                0.68871,                0.92026,                0.63544,                 1.0395,             0.00024064,             0.00024064,             0.00024064
                     23,                 0.6888,                0.47343,                0.91119,                0.90787,                0.86483,                0.92009,                0.70278,                0.89611,                0.59208,                  1.024,             0.00018406,             0.00018406,             0.00018406
                     24,                0.69422,                0.47476,                0.90936,                0.87947,                0.90697,                0.92414,                0.71268,                0.88382,                0.57258,                 1.0141,             0.00012747,             0.00012747,             0.00012747
                     25,                0.66525,                0.45408,                0.89105,                0.89868,                0.89309,                0.92328,                0.72036,                0.87413,                0.56743,                 1.0145,             7.0878e-05,             7.0878e-05,             7.0878e-05
