                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2158,                 5.6678,                 1.7064,                0.33352,                0.49722,                0.35655,                0.19588,                 1.6573,                 11.396,                 2.2259,             0.00021435,             0.00021435,             0.00021435
                      2,                 1.0739,                 3.2817,                 1.5057,                0.52021,                0.18889,                0.17545,                0.05037,                 2.0229,                  6.808,                 2.7613,             0.00042545,             0.00042545,             0.00042545
                      3,                 1.2695,                 2.6732,                 1.6074,                0.66667,                 0.1365,                0.19372,                0.09265,                 2.0541,                 4.6857,                  3.389,             0.00061844,             0.00061844,             0.00061844
                      4,                 1.2646,                 2.5056,                 1.6739,                0.07607,                0.12778,                0.04343,                0.01088,                 2.6206,                 7.2918,                 4.1491,             0.00079332,             0.00079332,             0.00079332
                      5,                 1.3126,                  2.201,                 1.7305,                0.13611,                0.03333,                0.01719,                0.01156,                 3.0383,                 5.8359,                 5.7168,             0.00095009,             0.00095009,             0.00095009
                      6,                 1.3716,                 2.2879,                 1.8011,                0.16015,                0.33611,                0.14438,                0.05925,                 2.5571,                 12.124,                 3.6083,              0.0010888,              0.0010888,              0.0010888
                      7,                 1.2898,                 2.2984,                 1.6893,                0.42399,                0.31667,                0.17622,                0.06154,                 2.1379,                  18.26,                 3.9093,              0.0010895,              0.0010895,              0.0010895
                      8,                 1.4048,                 2.2095,                 1.7503,                 0.0829,                0.24648,                0.10698,                0.04097,                 2.1279,                 23.318,                 3.2125,              0.0010329,              0.0010329,              0.0010329
                      9,                 1.4396,                 2.1708,                 1.7756,                0.52485,                   0.35,                0.11924,                0.05873,                 2.1731,                 60.854,                 2.7936,             0.00097629,             0.00097629,             0.00097629
                     10,                 1.4375,                 2.1852,                 1.7724,                 0.4449,                0.41667,                0.17168,                0.05937,                 2.3536,                 12.975,                 3.0711,              0.0009197,              0.0009197,              0.0009197
                     11,                 1.3166,                 2.0197,                 1.6913,                0.17015,                0.41667,                0.18021,                 0.0762,                 1.8603,                 4.8558,                  2.505,             0.00086312,             0.00086312,             0.00086312
                     12,                 1.4033,                 2.0093,                 1.7109,                0.52323,                0.43889,                0.29739,                 0.1228,                 2.1947,                  6.108,                 3.2885,             0.00080653,             0.00080653,             0.00080653
                     13,                 1.2854,                 1.9461,                 1.6344,                0.55267,                0.29444,                0.22448,                0.10095,                 1.9674,                 4.4516,                 2.3261,             0.00074994,             0.00074994,             0.00074994
                     14,                 1.1806,                 1.9742,                 1.5068,                0.64251,                0.29444,                0.31136,                0.13378,                 2.0499,                 3.2252,                 2.5085,             0.00069335,             0.00069335,             0.00069335
                     15,                 1.2833,                 1.9688,                 1.6713,                0.39819,                  0.375,                0.40771,                0.14674,                 1.9974,                 3.8563,                 2.3246,             0.00063676,             0.00063676,             0.00063676
                     16,                 1.4491,                 2.1118,                 1.8324,                0.91259,                0.35556,                0.50482,                0.25085,                 1.8913,                 2.3627,                 2.2233,             0.00058017,             0.00058017,             0.00058017
                     17,                 1.2942,                 2.0005,                 1.7785,                 0.5426,                   0.45,                0.40543,                 0.2133,                 1.7368,                 2.9667,                  2.143,             0.00052359,             0.00052359,             0.00052359
                     18,                 1.2864,                 1.8766,                 1.6741,                0.80882,                0.41667,                0.43467,                0.23544,                 1.6545,                 2.4889,                 2.0982,               0.000467,               0.000467,               0.000467
                     19,                 1.2593,                  1.737,                 1.6373,                0.56718,                0.55556,                0.56185,                0.31125,                  1.584,                 2.1564,                 2.0511,             0.00041041,             0.00041041,             0.00041041
                     20,                   1.19,                 1.6185,                 1.6679,                0.70498,                0.53333,                0.59528,                0.30947,                 1.6706,                 2.0368,                 2.0489,             0.00035382,             0.00035382,             0.00035382
                     21,                 1.1831,                 1.5263,                 1.6941,                0.72677,                0.43103,                0.59764,                0.27921,                 1.6502,                 2.0048,                 1.9639,             0.00029723,             0.00029723,             0.00029723
                     22,                 1.1453,                 1.6416,                 1.5321,                0.82594,                0.47059,                0.59224,                0.26674,                 1.6716,                 2.0609,                 2.0258,             0.00024064,             0.00024064,             0.00024064
                     23,                 1.0734,                 1.4102,                 1.5699,                0.46982,                0.62661,                0.60863,                0.28109,                 1.7083,                 1.9485,                 2.0515,             0.00018406,             0.00018406,             0.00018406
                     24,                 0.9851,                 1.3585,                 1.4895,                0.69611,                0.56555,                0.62108,                0.30773,                 1.7964,                 1.9951,                 2.2043,             0.00012747,             0.00012747,             0.00012747
                     25,                0.93998,                 1.3236,                 1.4892,                0.71241,                0.59167,                0.63375,                0.29973,                 1.8066,                 1.9611,                 2.2422,             7.0878e-05,             7.0878e-05,             7.0878e-05
